Date,Volume,Open,High,Low,SMA_20,RSI,slowk,slowd,MACD,MACD_signal,MACD_hist,upper_band,middle_band,lower_band,Close,prediction,pred_tomorrow,target,status,buy_cost,sell_cost,trade_ret,net_trade_ret,open_ret,strategy_ret,strategy_net_ret,buy_and_hold_equity,strategy_equity,strategy_net_equity
2023-11-09,833538185,126.9,127.4,126.65,124.65999999999993,61.27701155086266,93.81265866356874,89.66305406600502,0.4531795512728678,-0.0537965863159715,0.5069761375888394,128.55840993227926,124.65999999999993,120.7615900677206,127.25,127.06561,127.05278,0,1.0,0.0,0.0,0.0,0.0,0.001973943939992173,0.001973943939992173,0.001973943939992173,0.9202320522117443,2.8315414254630933,2.001382755675314
2023-11-10,576769594,126.7,126.85,126.4,124.64999999999992,58.61169366006279,93.9632545931759,93.02884270613714,0.5410320342503212,0.0651691377972869,0.4758628964530342,128.52582249336723,124.64999999999992,120.77417750663264,126.75,127.05278,127.466835,1,0.0,0.0,126.7,0.03852459016393445,0.035324590163934445,-0.0015760441292356209,-0.0015760441292356209,-0.004776044129235621,0.9187817258883215,2.827078791222805,1.9918240633147175
2023-11-13,3377923072,129.25,129.6,128.5,124.77249999999992,65.00476613973055,91.74617878647524,93.17403068107323,0.7592522755089988,0.2039857653396293,0.5552665101693695,128.9832570578339,124.77249999999992,120.56174294216596,128.7,127.466835,129.40962,1,1.0,129.25,0.0,0.0,0.0,0.02012628255722171,0.0,0.0,0.9372733865119617,2.827078791222805,1.9918240633147175
2023-11-14,2705445757,129.2,129.6,128.95,124.89499999999992,65.87801413777433,90.44310637640888,92.05084658535328,0.9455017263469044,0.3522889575410844,0.5932127688058202,129.43514316956066,124.89499999999992,120.35485683043916,129.0,129.40962,130.13004,1,1.0,0.0,0.0,0.0,0.0,-0.0003868471953579755,-0.0003868471953579755,-0.0003868471953579755,0.9369108049311059,2.8259851437213643,1.9910535317621776
2023-11-15,3088480462,130.9,131.0,130.05,125.18249999999992,70.0380233018135,92.6024955436721,91.59726023551868,1.2042954359623934,0.5226902532253462,0.6816051827370472,130.34740803404077,125.18249999999992,120.01759196595906,130.55,130.13004,130.83525,1,1.0,0.0,0.0,0.0,0.0,0.013157894736842257,0.013157894736842257,0.013157894736842257,0.9492385786801996,2.8631691587703303,2.0172516045485223
2023-11-16,2481132692,130.8,131.2,130.3,125.46999999999991,70.16438572976014,94.15170928857606,92.39910373621896,1.3973184798381908,0.6976158985479152,0.6997025812902756,131.14392280526422,125.46999999999991,119.79607719473562,130.6,130.83525,130.80003,0,1.0,0.0,0.0,0.0,0.0,-0.0007639419404125158,-0.0007639419404125158,-0.0007639419404125158,0.9485134155184882,2.8609818637674502,2.0157105414434433
2023-11-17,3673563109,130.6,131.5,130.55,125.74999999999991,71.21044692867116,94.90208636248254,93.8854303982435,1.5645323349563969,0.8709991858296114,0.6935331491267852,131.9140084360831,125.74999999999991,119.58599156391676,131.0,130.80003,131.00179,1,0.0,0.0,130.6,0.010444874274661465,0.0072448742746614656,-0.00152905198776776,-0.00152905198776776,-0.00472905198776776,0.9470630891950653,2.856607273761689,2.0061781415006656
2023-11-20,1174727729,131.05,131.05,130.45,126.1049999999999,70.87593193515374,94.62861999145512,94.56080521417118,1.6737223087959592,1.031543810422881,0.6421784983730783,132.59937448874842,126.1049999999999,119.61062551125136,130.95,131.00179,131.49055,1,1.0,131.05,0.0,0.0,0.0,0.0034456355283309925,0.0,0.0,0.9503263234227668,2.856607273761689,2.0061781415006656
2023-11-21,3927372905,131.45,132.7,131.45,126.53499999999993,74.93377681206132,96.08525780183308,95.20532138525684,1.8678315782281345,1.1988013639839317,0.6690302142442028,133.5218519377535,126.53499999999993,119.54814806224634,132.55,131.49055,131.38455,0,1.0,0.0,0.0,0.0,0.0,0.0030522701259059204,0.0030522701259059204,0.0030522701259059204,0.9532269760696122,2.8653264108048377,2.0123015391092136
2023-11-22,850217906,131.25,131.8,131.15,126.89249999999991,67.35405765384816,92.06282190439718,94.2588998992284,1.9028991644986208,1.3396209240868695,0.5632782404117511,134.09328294354768,126.89249999999991,119.69171705645218,131.35,131.38455,131.2679,0,0.0,0.0,131.25,0.0015261350629529845,-0.0016738649370470157,-0.001521491061239888,-0.001521491061239888,-0.004721491061239888,0.9517766497461895,2.8609668422832635,2.0028004753797903
